"registryid","population_center","population_center_state","population_center_dist","ret_facility_name","ret_facility_id","ret_facility_dist","road_name","road_dist","substation_name","substation_countyfips","substation_dist"
"110070004425","Joplin","MO","51685.7209623079","Asbury","2076","14451.1290835324","I- 49","45075.9674347156","UNKNOWN156715","20037","648.524088527534"
"110040217351","Tampa","FL","4131.18661017055","Big Bend","645","23126.8986213742","State Hwy 400","1337.90912669061","14TH STREET","12057","1211.79961173613"
"110056393790","Williston","ND","209240.9498307","Lewis & Clark","6089","167329.823330032","I- 94","186957.144728805","UNKNOWN208286","30085","16146.0421040346"
"110070068641","Sioux City","IA","1859.55320217543","Angus Anson","7237","169497.022721459","I- 29","2168.55529215658","UNKNOWN130426","19193","2268.71959079339"
"110070570318","Morgantown","WV","46178.5124543559","Luke Mill","50282","110105.810562981","I- 79","21888.4706835555","UNKNOWN108744","54091","3773.92914753639"
"110071090487","Blacksburg","VA","47138.994481154","Marshall (NC)","2727","200930.925748603","State Rte 100","6042.42366497921","PEAK CREEK","51155","3765.13743151367"
"110040215255","Detroit","MI","2176.87467448146","River Rouge","1740","8356.74473930546","Fisher Fwy","91.5841991165536","UNKNOWN129002","26163","3186.04520930873"
"110069441946","Boardman","OH","28828.3683775206","W H Sammis","2866","58933.9380358667","State Rte 11","13888.6986206764","SALEM","39029","911.410737124579"
"110060373787","St. Paul","MN","3015.70947661324","Inver Hills","1913","30550.0260851203","US Hwy 10","363.439867107941","WESTERN","27123","2760.16355723487"
"110070790007","Beverly Hills","CA","21849.118092773","Scattergood","404","38600.2849856642","el Camino Real","1906.51100560048","TARZANA(STATION U)","06037","1203.31800058612"
"110001881811","Ogden","UT","1854.51632692248","Gadsby","3648","69404.0708023223","I- 84","3914.12009250797","UNKNOWN201982","49057","940.188146055654"
"110040822713","St. Louis","MO","1912.37148843745","Meramec","2104","36658.1672773853","US Hwy 40","2142.17593877261","CENTRAL","29510","2374.97845122507"
"110046425472","Pekin","IL","36344.4189138504","Duck Creek","6016","22319.9254459696","I- 155","41151.6739841244","UNKNOWN138543","17125","3788.08608670556"
"110038704952","West Sacramento","CA","4043.6864635772","Greenleaf 1","10350","69888.4232396509","el Dorado Fwy","677.214800494998","WEST SACRAMENTO","06113","1836.85098175508"
"110070570230","Dothan","AL","689.167330778903","Pea Ridge","7715","209990.601717108","State Hwy 8","61791.8298364458","UNKNOWN110260","01069","1842.44972497633"
"110055083920","Sarasota","FL","3099.50630050452","Big Bend","645","55744.5676723986","I- 75","9607.17937148972","UNKNOWN108424","12115","1707.24457681404"
"110070523725","Framingham","MA","693.800683068567","Cherry Street","9038","22713.5444236635","I- 90","4817.24165992146","UNKNOWN136369","25017","2725.35360139497"
"110070789780","Myrtle Beach","SC","84849.5869620973","Winyah","6249","145663.835468396","US Hwy 74","42356.6891168782","UNKNOWN112679","37047","2665.56108569909"
"110071090189","Oklahoma City","OK","4205.64804043133","Weleetka","2966","154647.690054568","I- 235","634.106470253251","UNKNOWN118542","40109","2093.7544426128"
"110070523675","Danville","VA","53771.1319273439","Mecklenburg Power Station","52007","150255.167531119","US Hwy 220","5933.55337258142","UNKNOWN114623","51690","806.878227036374"
"110070813709","Mankato","MN","2068.24558528467","Hutchinson Plant #1","1980","120390.94883681","US Hwy 14","3057.23961920487","SUMMIT AVE","27013","3857.18169943598"
"110040477828","West Allis","WI","916.888703890959","South Oak Creek","4041","33020.4552065202","I- 94","1866.19066261601","WEST JUNCTION","55079","2231.85106515246"
"110064099826","Port Huron","MI","2785.90911864497","Belle River","6034","31475.6086245656","I- 94","3416.25127798538","UNKNOWN128934","26147","2597.41904516962"
"110038724609","Eastpointe","MI","5865.58430221493","River Rouge","1740","28426.0715448006","Edsel Ford Fwy","4461.23421447114","UNKNOWN172328","26163","4977.94205762427"
"110069992147","Mentor","OH","11795.7913813367","Arcelormittal Cleveland Inc","10398","60838.5860025537","State Rte 2","1958.61396364828","UNKNOWN113786","39085","2378.9650083937"
"110070234836","Kenner","LA","15647.0023711482","Little Gypsy","1402","14173.7688727543","I- 310","1397.04983364201","DESTREHAN","22089","2748.68236516874"
"110043316284","Santa Fe","NM","48248.1832640399","Escalante","87","195818.581512688","I- 25","6191.27117045403","SANTO DOMINGO","35043","285.483807647439"
"110054147561","Eureka","CA","109196.732424084","Oroville Cogeneration LP","54477","400564.001967754","US Hwy 101","45070.5094792987","UNKNOWN202983","06015","8117.97631974853"
"110001881811","Ogden","UT","1854.51632692248","Gadsby","3648","69404.0708023223","I- 84","3914.12009250797","UNKNOWN201982","49057","940.188146055654"
"110038750296","Georgetown","KY","37186.1804467261","E W Brown","1355","80469.7528851948","I- 64","26668.0411116092","UNKNOWN122430","21017","2467.17928307365"
"110071089243","Bloomington","IN","832.912928390725","AES Petersburg","994","121153.602209897","I- 69","8425.89308241075","UNKNOWN125078","18105","1688.91038500187"
"110071089858","Apache Junction","AZ","184208.242122295","Springerville","8223","112743.163418066","I- 40","147318.789296691","UNKNOWN300139","04017","35152.2429604288"
"110070384813","Cleveland","TN","49347.1693656306","Kingston","3407","59803.5360965308","I- 75","4025.2462061141","ATHENS","47107","1472.75652350433"
"110039541289","Lowell","MA","1460.59959202825","Waters River","1678","45537.5515051792","Lowell Con","1649.19992161706","UNKNOWN172841","25017","1435.85636938562"
"110000908956","Detroit","MI","9644.67413746628","River Rouge","1740","18945.1436805264","I- 75","220.95574138538","UNKNOWN128899","26163","2341.16996713478"
"110041720411","Minot","ND","158342.626452107","R M Heskett","2790","335127.309356399","I- 94","326851.746903201","UNKNOWN134336","38079","14272.1558080061"
"110056393683","Oklahoma City","OK","702.36455933817","Weleetka","2966","154923.783276858","US Hwy 270","904.801680607328","UNKNOWN162377","40109","1349.89850631"
"110071194882","Bismarck","ND","117162.134447913","R M Heskett","2790","127886.945628521","State Hwy 810","114661.034289932","UNKNOWN135721","38085","2397.99111037567"
"110043084364","Oak Forest","IL","10719.5457539582","ITT Cogen Facility","52021","27643.2096287073","I- 57","2091.10162093789","UNKNOWN122272","17031","2162.4409186613"
"110038698335","Fitchburg","MA","2673.49410260248","Simonds","58945","3252.87395797892","State Rte 2","6438.61775460463","UNKNOWN133572","25027","1052.03099067657"
"110055084171","Lewisville","TX","2852.28213026172","University of Texas at Dallas","54607","31683.0105393393","US Hwy 77","2018.58890195406","WEST","48121","1250.66174834821"
"110038712060","Las Vegas","NV","2604.44412510236","Saguaro Power","54271","25331.0033517921","US Hwy 93","219.996397034888","MILLER","32003","1428.17676739285"
"110040209299","South Portland","ME","1916.42214738079","Androscoggin Energy Center","55031","135609.54281189","I- 295","2991.36392028933","UNKNOWN133125","23005","1595.49329017735"
"110070149045","Mesa","AZ","8452.29097823132","Ocotillo","116","13372.7098572808","Loop 202","2659.59564945662","EVERGREEN","04013","1885.74714430288"
"110069992197","Mentor","OH","67119.6451779755","Erie Coke","50920","89492.4502363249","State Rte 46","2440.56161488203","UNKNOWN112767","39007","3779.16122762332"
"110039546881","Greenville","SC","201.326170503262","W S Lee","3264","33520.0119496043","I- 385","1677.66925200785","UNKNOWN114010","45045","1187.52390291309"
"110064565439","Burbank","CA","16777.4964317589","Caltech Central","57460","38295.8140430948","State Rte 118","415.042850988945","SAN FERNANDO","06037","4351.02423286252"
"110068488185","Duluth","MN","185698.436112045","Moose Lake","1996","162775.008349588","US Hwy 2","136400.089869271","UNKNOWN129694","27061","2010.19334048785"
"110039533528","Gadsden","AL","51888.0938082986","Gadsden","7","50530.4730995642","I- 20","6829.89125041793","UNKNOWN115046","01015","740.641753908272"
"110057002602","Sparks","NV","2910.37776470014","Fort Churchill","2330","88205.3524458909","I- 80","1123.43596406999","UNKNOWN302408","32031","2468.98712283316"
"110069497084","Hampton","VA","4443.26131894236","Yorktown","3809","30903.5504349894","I- 664","1982.92876699545","SHELLBANK","51650","3892.90053385749"
"110071194933","Eastpointe","MI","9630.89166901075","River Rouge","1740","27078.8743778055","Edsel Ford Fwy","1329.44885651312","UNKNOWN128912","26163","4363.56562507714"
"110070164262","Burlington","VT","65057.2343311639","Mead Rumford Cogen","10491","237042.423023245","I- 89","45449.0905868202","JOHNSON","50015","182.364803809319"
"110070209883","Frankfort","KY","1433.6464505258","E W Brown","1355","60811.0741519104","I- 64","5578.37694132074","UNKNOWN169315","21073","1040.21135955933"
"110054627490","Everett","MA","1341.24845983916","Mystic Generating Station","1588","2634.12478637063","I- 93","3132.12029488736","EVERETT","25017","1147.67232656766"
"110030678960","Wilmington","DE","28000.040881437","Chambers Cogeneration LP","10566","18808.2042623657","I- 295","16464.7081116414","UNKNOWN161363","34033","1899.15205288776"
"110071194745","St. Paul","MN","10983.2087119138","Inver Hills","1913","19058.964594431","Lafayette Fwy","2540.28868126358","BATTLE CREEK","27123","3330.66070758822"
"110070209921","Richmond","KY","98492.9254943163","E W Brown","1355","144746.650499183","State Hwy 402","6699.59783839332","UNKNOWN121490","21237","8644.28117791468"
"110070036555","Pawtucket","RI","2358.56587939221","Pawtucket Power Associates","54056","3745.34753831792","I- 95","126.059138194397","PAWTUCKET","44007","1472.30967516"
"110070605015","Montgomery","AL","4077.31038077884","U S Alliance Coosa Pines","54216","126201.628163309","I- 85","1991.89641762914","MAXWELL FIELD","01101","344.840511472264"
"110070004624","West Bend","WI","26529.2992737057","South Oak Creek","4041","94755.5811713831","I- 41","11346.7306517181","UNKNOWN144447","55131","1572.49683483643"
"110070209935","Richmond","KY","90112.114704562","E W Brown","1355","116132.677609606","I- 75","1946.62898323189","UNKNOWN124927","21125","2501.97914040311"
"110071194928","Burlington","VT","133504.009361278","Mead Rumford Cogen","10491","164864.948724692","I- 91","1824.60186569889","UNKNOWN162234","50005","198.47393692734"
"110054147160","Wyoming","MI","4879.21477580522","Claude Vandyke","1880","33442.4774431348","US Hwy 131","1325.2926025625","UNKNOWN172285","26081","1246.75437294475"
"110038701517","Holyoke","MA","231.99854642493","Essential Power Massachusetts LLC","1642","17014.1323923292","I- 391","1903.80127209736","UNKNOWN140783","25013","1715.31328517265"
"110004619404","Lima","OH","3043.67942236092","Wausau Paper Middletown","57940","179752.787093372","I- 75","1427.51657380591","UNKNOWN137322","39003","1872.94174253273"
"110039533252","Fairfield","OH","17705.4556506678","Hamilton (OH)","2917","28577.2883622324","I- 75","164.692997952649","UNKNOWN156786","39061","1187.87077787828"
"110070149284","Detroit","MI","5577.81684186332","River Rouge","1740","15722.8953046271","I- 75","1420.76317506118","UNKNOWN128952","26163","915.413000457482"
"110071194746","Tallahassee","FL","2868.32459206887","Deerhaven Generating Station","663","228593.527307178","State Hwy 8","4379.85998379182","SUBSTATION 12","12073","1771.98313845765"
"110070209931","Richmond","KY","55215.9586382602","E W Brown","1355","73470.2839135496","I- 75","3464.8444667337","UNKNOWN125068","21203","1060.1039291399"
"110070209917","Elyria","OH","18984.9826695913","Avon Lake","2836","37301.8420755286","US Hwy 20","7900.81997855748","UNKNOWN152261","39093","2529.75026478256"
"110070117654","Biloxi","MS","28004.2697640638","Victor J Daniel Jr","6073","17399.4696056354","I- 10","1887.78209037013","UNKNOWN110482","28059","875.906828351745"
"110071332735","Oakland","CA","2352.96544709298","SF State University","57043","25759.376307191","Grove Shafter Fwy","115.296532904127","OAKLAND L","06001","498.615763347496"
"110070068686","Hampton","VA","2982.16764047377","Yorktown","3809","29519.3703397049","State Rte 168","1153.70315938396","UNKNOWN115516","51650","380.30941870607"
"110012354709","Williston","ND","211848.521453329","Lewis & Clark","6089","113416.209938089","I- 94","2927.7565140457","UNKNOWN204137","30021","431.786522292064"
"110054627720","Grand Rapids","MI","2118.34020634808","Claude Vandyke","1880","40282.5430415843","US Hwy 131","1054.66770645154","UNKNOWN128708","26081","982.162793414502"
"110071090618","Scranton","PA","2061.36099056642","Wheelabrator Frackville Energy","50879","106026.916542397","I- 81","2011.46893545014","UNKNOWN123599","42069","2120.10875445689"
"110070525647","Barberton","OH","2422.88217919817","Akron Recycle Energy Plant","54265","11627.7489913416","US Hwy 224","2306.18608040912","UNKNOWN112772","39153","1088.5055402831"
"110054147712","Waterbury","CT","796.412895704767","Capitol District Energy Center","50498","48737.0204967124","Yankee Expy","1749.45578347642","NOERA","09009","1519.29281510036"
"110070384789","Richmond","KY","92345.8105859225","E W Brown","1355","139208.591253018","State Hwy 402","11932.0991780652","UNKNOWN121491","21237","13394.4219545617"
"110038712024","Las Vegas","NV","2565.97627483308","Saguaro Power","54271","25299.3458300425","US Hwy 93","231.65470801169","MILLER","32003","1458.63542638244"
"110042110756","Tucson","AZ","2677.58629565276","H Wilson Sundt Generating Station","126","9196.0885170237","Tucson Fwy","674.133048480785","SANTA CRUZ","04019","2174.1590808599"
"110054147703","Bristol","CT","8015.39371497887","Capitol District Energy Center","50498","37821.4872357548","James H Darcey Memorial Hwy","5732.01149139884","CHIPPEN HILL","09003","2904.60327136065"
"110071194807","Newark","OH","21608.6208904456","Conesville","2840","71091.6215073941","I- 70","4162.72197629093","UNKNOWN158955","39127","713.848524883289"
"110038700091","Lansing","MI","2779.53736152637","Eckert Station","1831","2638.85309432154","US Hwy 27 Bus","1062.27019453311","UNKNOWN172270","26065","1511.61205478001"
"110039530228","Dubuque","IA","10789.110753862","Lansing","1047","127162.115210041","US Hwy 20","70250.0390053817","UNKNOWN130698","19061","4757.16027278757"
"110070149314","Minot","ND","200822.241902484","R M Heskett","2790","350450.544782287","US Hwy 81","277247.892201789","UNKNOWN134116","38079","3426.76670037257"
"110039533537","Gadsden","AL","51888.0938082986","Gadsden","7","50530.4730995642","I- 20","6829.89125041793","UNKNOWN115046","01015","740.641753908272"
"110070209924","Kingsport","TN","119628.638668637","E W Brown","1355","202875.913150672","Bert T Combs Mountain Pkwy","56207.6715896987","BECKHAM","21119","7000.00840316184"
"110071194720","Pueblo","CO","154663.226193268","Comanche (CO)","470","146041.41600912","US Hwy 87","895.256324923671","UNKNOWN203688","08071","1658.78981996426"
"110070605172","Lynn","MA","2592.33955002357","General Electric Aircraft Engines","10029","2986.07137078751","Cutler Hwy","8418.10211941222","LYNN","25009","1415.81535332085"
"110070605051","Casper","WY","1310.55053038651","Dave Johnston","4158","61852.3326696625","US Hwy 87","1810.08261934992","UNKNOWN209474","56025","1636.87981188501"
"110071194855","Aurora","CO","10392.3816157221","Cherokee","469","14860.0654802001","I- 225","4267.45983900448","UNKNOWN202800","08001","3850.10009326783"
"110071162731","Tarpon Springs","FL","2618.26345670633","Higgins","630","16012.9268371808","66th St N","10351.1481870351","UNKNOWN108143","12103","2110.93803398509"
"110017145695","Augusta","GA","28729.1364184612","Kamin LLC Wrens Plant","54880","68950.854233834","State Rte 415","22306.9712942933","UNKNOWN170039","45003","1006.82066254786"
"110071162765","Anchorage","AK","10689.1962808087","International","6293","10745.7095401952","State Hwy 1","4711.8457516807","UNIVERSITY","02020","2510.08553322627"
"110054145929","Grand Rapids","MI","2210.76643896218","Claude Vandyke","1880","40023.3572667507","US Hwy 131","545.970920920215","UNKNOWN128708","26081","915.676427814497"
"110070525650","Minot","ND","1817.86652140394","R M Heskett","2790","230251.348232315","I- 94","226296.332932477","UNKNOWN133958","38101","2732.14075340023"
"110063699190","Southfield","MI","2036.39591265188","Hancock","1730","24788.7853471356","Northwestern Hwy","872.196705749612","SOUTHFIELD","26163","5699.38914585955"
"110071194912","Blacksburg","VA","75804.7315944805","Marshall (NC)","2727","245743.369636595","I- 77","3725.4427106971","SOUTH PRINCETON","54055","2967.2467859163"
"110070790063","Birmingham","AL","5559.0453493146","Gorgas","8","44299.7102090199","I- 65","1973.20627918481","UNKNOWN109270","01073","1816.55211692652"
"110071090112","Huntington","WV","15072.4919705742","W H Zimmer","6019","195387.168648416","I- 64","4202.50695751866","SOUTH POINT","39087","1185.1068809854"
"110057003692","Greenville","TX","7724.14712031753","University of Texas at Dallas","54607","67290.0145654392","I- 30","44.0487175310676","UNKNOWN309444","48231","6104.71048268425"
"110043242167","Joplin","MO","20362.224823166","Asbury","2076","33179.675786119","I- 44","19842.1356041926","UNKNOWN118191","20021","2673.69487535356"
"110071090712","Battle Creek","MI","45453.7349892127","Erickson Station","1832","49976.5163398892","US Hwy 27","28079.0293361435","UNKNOWN129887","26045","6619.38308840011"
"110041721465","Clearfield","UT","1793.06296762798","Gadsby","3648","52149.3908665697","I- 15","1240.54603045946","UNKNOWN206411","49011","1604.77355099193"
"110070258694","Jackson","MS","44073.4542619292","Rex Brown","2053","49909.3252700584","I- 55","476.268984108868","UNKNOWN150047","28029","3780.07507622113"
"110054145171","Tucson","AZ","8919.9775706411","H Wilson Sundt Generating Station","126","6010.45683132111","I- 19","3157.59251972951","DREXEL","04019","1514.82666563688"
"110067219977","Perth Amboy","NJ","4253.94232092112","Overlook Medical Center","62622","28824.9323185816","State Rte 440","555.026005731311","UNKNOWN132384","34023","3994.33009269164"
"110039555228","Lakewood","CO","5191.4184531384","Cherokee","469","17329.1052296218","US Hwy 6","3130.57874715702","UNKNOWN202284","08059","4211.16402314863"
"110064566081","Northampton","MA","45590.8080195408","Amherst College Co Gen","58185","37163.7654865441","I- 91","3115.73343167283","MONTAGUE/CABOT","25011","4592.60131972628"
"110042300827","Findlay","OH","1460.30356114237","Monroe (MI)","1733","130486.994783613","I- 75","2503.4689751613","UNKNOWN112786","39063","796.710041467618"
"110061002828","Ames","IA","29504.2577426828","Iowa State University","54201","30824.7116408746","I- 35","20005.8986506913","UNKNOWN160015","19169","4838.0850889719"
"110039537490","Milwaukee","WI","2627.02768803159","South Oak Creek","4041","30258.2368230627","I- 94","445.712820123001","VALLEY (WE)","55079","344.780269438541"
"110039530200","Dubuque","IA","10789.110753862","Lansing","1047","127162.115210041","US Hwy 20","70250.0390053817","UNKNOWN130698","19061","4757.16027278757"
"110043637339","Kingsport","TN","83991.2271935929","Bull Run","3396","212929.078816331","State Rte 137","77374.5694289284","UNKNOWN121745","21133","2748.18367897752"
"110038746694","Hutchinson","KS","105574.969544778","Hoisington","1286","113671.485577099","US Hwy 400","77894.5143613236","UNKNOWN117999","20151","5170.38076247848"
"110070209830","Santa Fe","NM","23858.0214640741","Alamosa","464","223501.142421765","US Hwy 84","64.3981149480222","CUYAMUNGUE","35049","1716.52134495031"
"110070789584","Myrtle Beach","SC","86663.325981624","Winyah","6249","149463.758299607","US Hwy 74","45741.2842171205","UNKNOWN169626","37047","223.498022449565"
"110071162768","Roseville","MI","6777.71006124683","Par Sterile Products","50318","28989.4704838985","I- 94","3384.24924073426","UNKNOWN172295","26099","2494.09900851007"
"110003419952","Chicopee","MA","2679.9004251654","Essential Power Massachusetts LLC","1642","8957.97387863646","I- 90","2271.44337682187","UNKNOWN156956","25013","841.335966149328"
"110071089832","Wyoming","MI","18212.6800723335","Claude Vandyke","1880","20660.9515521924","I- 196","2794.23583069869","UNKNOWN128762","26139","3344.2991079492"
"110071090626","Jackson","MI","1977.4366933595","Erickson Station","1832","71166.847452904","US Hwy 127","1861.68227047634","UNKNOWN128613","26075","1077.76370921016"
"110070385572","Rahway","NJ","3018.26048396598","Overlook Medical Center","62622","20688.1192396717","I- 95","3707.6725330723","WOODBRIDGE","34023","2788.87867012217"
"110071090456","Farmington","NM","174480.134943476","Escalante","87","80956.4958057453","I- 40","4532.09013496268","UNKNOWN303765","35031","1667.03600246676"
"110001916179","Olympia","WA","3951.93701649923","Transalta Centralia Generation","3845","49522.3910832749","I- 5","4685.32184580327","THURSTON","53067","2323.57357215397"
"110054626437","Paramount","CA","4135.07942292567","AES Alamitos LLC","315","14941.4716918128","Artesia Fwy","1218.98991198","CORNERS","06037","456.966700159272"
"110042300961","Green Bay","WI","18988.6610156826","Consumer Operations LLC","10360","21457.666018994","US Hwy 141","378.05214526588","SUAMICO","55009","3841.84505429036"
"110071089356","Jeffersonville","IN","7348.9828288056","Paddys Run","1366","7976.38019250711","I- 65","2107.35297449986","UNKNOWN130746","21111","1628.58758962112"
"110020893390","Albuquerque","NM","4623.81402436086","Escalante","87","163724.700826559","Pan American Fwy","3951.34514191153","UNKNOWN304933","35001","2990.34782125155"
"110056363689","Arlington","TX","905.792193907303","University of Texas at Dallas","54607","52807.1664253771","I- 30","4382.90801526467","UNKNOWN307514","48439","1970.458961944"
"110038711748","Granger","IN","70829.6193723461","Palisades","1715","20424.2843020732","I- 94","2266.68797826105","UNKNOWN129483","26021","231.622072143091"
"110060743174","Colorado Springs","CO","85373.960356832","South Plant","492","83647.0679338018","US Hwy 85","77785.1356413109","TARRYALL","08093","18198.400319716"
"110057003497","Salem","MA","3136.4939873015","Waters River","1678","8407.41959688476","State Rte 128","8696.79037984285","RAILYARD","25009","2773.40784705604"
"110044762316","Coon Rapids","MN","4015.60859929691","Delano","1969","53690.2511810747","US Hwy 10","3074.14499492215","UNKNOWN129654","27003","4098.77154935637"
"110038762737","Wichita","KS","3985.38490537247","Ponca","762","139332.451235518","US Hwy 81","959.426744974753","UNKNOWN155813","20173","839.778311726704"
"110070570235","Youngstown","OH","1280.46960003024","FirstEnergy Bruce Mansfield","6094","72516.1659500777","I- 680","78.8465691337069","UNKNOWN113308","39099","763.470363642172"
"110070789657","Lewiston","ME","189838.219430571","Mead Rumford Cogen","10491","115630.267792211","I- 95","152308.33375878","UNKNOWN133096","23007","13098.2615021677"
"110044227903","Muncie","IN","32923.4983941973","Wausau Paper Middletown","57940","153042.858678736","US Hwy 35","28244.5507032107","UNKNOWN151142","18075","1166.28188197983"
"110071162666","Lansing","MI","3685.00557622648","Eckert Station","1831","3493.24829951875","US Hwy 27 Bus","2127.43165300897","UNKNOWN172270","26065","2367.21532905973"
"110038746872","Alameda","CA","3513.02080182007","CSU East Bay","57042","26351.0606079487","I- 880","265.48846863304","JENNEY","06001","1630.58231307573"
"110038746872","Alameda","CA","3513.02080182007","CSU East Bay","57042","26351.0606079487","I- 880","265.48846863304","JENNEY","06001","1630.58231307573"
"110070384809","Waterloo","IA","7110.48634958446","Duane Arnold Energy Center","1060","92810.4996249184","W Washington St","2421.72662206522","UNKNOWN137005","19013","1322.4979425068"
"110044762227","Nashua","NH","4124.78125706509","Simonds","58945","45812.7622762966","US Hwy 3","3891.05034761338","BRIDGE STREET UPPER","33011","603.648924133329"
"110070149108","Birmingham","AL","4550.42957147914","Gorgas","8","43538.9661083912","I- 65","1066.01446438945","ACIPCO EAF NO.3 CU","01073","1851.37877017662"
"110071090449","St. Paul","MN","3716.38836455858","Black Dog","1904","28274.4368165162","I- 94","2901.57799272824","WESTERN","27123","2105.2464040917"
"110071090623","Montgomery","AL","80657.9803743619","Lowman Energy Center","56","149646.614926364","I- 65","3120.32725356009","UNKNOWN173040","01013","1734.01126924604"
"110039546854","Hicksville","NY","5089.71913649971","Nassau Energy Corp","52056","5645.83130237542","Northern State Pkwy","822.105563755201","UNKNOWN129903","36059","781.183701966467"
"110070069196","Wichita","KS","3196.09420129757","Ponca","762","140056.201446456","US Hwy 81","29.6788999185837","UNKNOWN119772","20173","1783.93048427299"
"110043456337","Stamford","CT","2214.27075360096","Norwalk Hospital Plant","63673","13837.7571976133","I- 95","148.42380810281","GLENBROOK","09001","939.049592850106"
"110039547121","Port Arthur","TX","2088.07799163587","Port Neches Plant","54748","11601.6500067089","State Hwy 73","3491.4418649226","UNKNOWN301966","48245","234.433206604616"
"110070068727","Denver","CO","3314.48443357539","Cherokee","469","14481.6630358903","I- 25","154.564527020437","DAKOTA","08031","1098.81238819132"
"110042301078","Huntington","WV","32327.3515379783","W H Zimmer","6019","179152.214661308","I- 64","21981.7075845761","UNKNOWN137842","39087","483.996918577424"
"110070106113","Bradenton","FL","3598.53005445421","Big Bend","645","41802.659968593","State Hwy 93","6788.25406356717","FRUIT INDUSTRIES","12081","1020.56610908529"
"110070068699","Charlotte","NC","5215.00586638763","G G Allen","2718","22690.5243837169","Brookshire Fwy W","2336.78349897238","NORTH CHARLOTTE","37119","671.12071819589"
"110054145876","Grand Rapids","MI","2439.74608512328","Claude Vandyke","1880","39818.9931652489","US Hwy 131","592.888922235842","UNKNOWN128708","26081","1153.13176737223"
"110071089625","Salt Lake City","UT","1782.96690889185","Gadsby","3648","3424.04865123638","Dwight D Eisenhower Hwy","758.232377491109","DEAD HEAD","49035","185.006531330301"
"110064402999","Kansas City","MO","5526.53358351076","Blue Valley","2132","28380.6213127164","US Hwy 71","1986.20437933978","UNKNOWN117558","29095","3722.51374359901"
"110056363803","Cleveland","OH","8450.73434744475","Arcelormittal Cleveland Inc","10398","11400.2503581001","State Rte 2","757.321267250098","UNKNOWN115519","39035","1925.17439816019"
"110071089839","Duluth","MN","2823.36825380909","Moose Lake","1996","94124.2697007017","I- 35","111.807971187245","UNKNOWN129284","27137","5931.68717309138"
"110020077325","Cedar City","UT","188055.351249959","Huntington","8069","153439.415637069","I- 70","55262.5382039205","UNKNOWN207463","49055","5832.75395619993"
"110057204207","Allen Park","MI","1564.35288796145","Wyandotte","1866","11400.5833532955","State Hwy 39","1247.41964972449","UNKNOWN128435","26163","2800.81422058787"
"110041620270","Plainfield","NJ","501.72746780075","Overlook Medical Center","62622","15597.7830712774","I- 78","6179.81154086486","SOUTH 2ND STREE","34039","3570.76791935688"
"110043083052","Kingsport","TN","88534.5907297145","Bull Run","3396","215669.713536112","State Rte 137","81909.235720827","UNKNOWN121745","21133","2576.36056619252"
"110043085354","Durham","NC","776.526485643313","Mecklenburg Power Station","52007","92485.0260386236","Durham Fwy","1348.50006049149","UNKNOWN115141","37063","1635.77435578187"
"110039541966","Lynwood","CA","616.872776332939","Biola University Hybrid","54296","20886.0031328866","I- 105","915.179082566829","LYNNWOOD","06037","1541.92354929123"
"110038731174","West Little River","FL","5752.54814934949","Indiantown Cogeneration LP","50976","154051.228851087","I- 95","1503.1125147557","LEMON CITY","12086","1582.59070305486"
"110063597950","Fort Dodge","IA","2001.05442796206","Iowa State University","54201","94167.6857067553","US Hwy 20","32079.7024053579","FORT DODGE","19187","2303.10811731898"
"110064327633","Green Bay","WI","7170.57537885959","Consumer Operations LLC","10360","4778.96836954761","US Hwy 41","1370.73664610487","LIBERTY STREET","55009","3599.25720226166"
"110060668059","Renton","WA","9104.84301888047","University of Washington Power Plant","54809","28864.7929162555","I- 405","3589.92767414728","HIGHLANDS","53033","2498.09626483553"
"110070164238","Texarkana","AR","56129.0380894354","Lieberman","1417","101224.427231622","I- 30","42859.2327818744","UNKNOWN108084","05073","3975.18588170146"
"110071089478","Warner Robins","GA","28078.437610275","Scherer","6257","81787.4111472443","I- 75","632.388584017247","UNKNOWN112710","13153","2623.48111416091"
"110071089259","Monroe","LA","1108.26971948034","NRG Sterlington Power","55099","25226.301696123","I- 20","785.411317984618","UNKNOWN112557","22073","3417.58151125813"
"110038703800","Cookeville","TN","4459.2799017374","Gallatin (TN)","3403","98680.2400826646","I- 40","5023.43039151466","UNKNOWN152158","47141","1488.88315194714"
"110041635148","Hutchinson","KS","38855.507908419","Hoisington","1286","76514.5149807473","State Hwy 61","37726.0431797429","UNKNOWN172219","20159","17382.9605039317"
"110038691573","Lewiston","ME","67134.0814721413","Mead Rumford Cogen","10491","16338.0243437068","I- 95","71614.0913013215","UNKNOWN136744","23017","8106.02847566218"
"110038763692","Taylor","MI","3169.6624956726","Wyandotte","1866","10972.5202482686","Detroit Toledo Fwy","2903.55180950926","UNKNOWN128434","26163","3395.59771636332"
"110070354523","Pueblo West","CO","44586.9017358036","Ray D Nixon","8219","57678.4751746524","US Hwy 85","56097.709651916","FLORENCE","08043","1153.9981831688"
"110070069043","Petersburg","VA","18251.5707735611","James River Genco LLC","10377","2121.37727576955","I- 295","5162.07970728572","POLYESTER PS","51670","722.074763421981"
"110038697666","Everett","MA","2666.62226126319","Mystic Generating Station","1588","3129.3619344519","I- 93","2400.86374361036","UNKNOWN133531","25017","450.598753461347"
